Moving file/folder 1q_SnCcAeZM1oV-SjPgDKIHbgjxLDjn3E, name: {'name': 'A021C708_150522HR_CANON.MXF', 'size': '37.62GB', 'bytes': 40394710576, 'type': 'application/octet-stream', 'files': 1, 'folders': 0, 'id': '1q_SnCcAeZM1oV-SjPgDKIHbgjxLDjn3E', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 19WZ134sDiyDza2RTTadXEniB9HId8ood, name: {'name': 'A023C713_150523E2_CANON.MXF', 'size': '70.91GB', 'bytes': 76138143328, 'type': 'application/octet-stream', 'files': 2, 'folders': 0, 'id': '19WZ134sDiyDza2RTTadXEniB9HId8ood', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1akDkkbvdj_iwLFDWgEXhikdqWa_eLE2R, name: {'name': 'UWild', 'size': '96.96GB', 'bytes': 104109229598, 'type': 'Folder', 'files': 98, 'folders': 11, 'id': '1akDkkbvdj_iwLFDWgEXhikdqWa_eLE2R', 'parents': ['1W6gFHbu_tGncIOhUwnRLBDv7GEXGqP8i']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1bApp9dCzNUjB3YT_p4vWEdlLjSLLVkx-, name: {'name': 'Thank you 02.mp4', 'size': '99.86GB', 'bytes': 107226301623, 'type': 'video/mp4', 'files': 99, 'folders': 11, 'id': '1bApp9dCzNUjB3YT_p4vWEdlLjSLLVkx-', 'parents': ['1uN0oJqX4xYmTBjB7JFbxPe6iEG92WgQH']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1nZeWhK1uWS3b9cPc4vys0gw4QG_tRFeT, name: {'name': '[12.07.21] - ASUW Shell House Drone - Alzughaibi - 017.MP4', 'size': '100.0GB', 'bytes': 107371133119, 'type': 'video/mp4', 'files': 100, 'folders': 11, 'id': '1nZeWhK1uWS3b9cPc4vys0gw4QG_tRFeT', 'parents': ['15RJSYpUtFXrUSqItGONuxJjiWCysiJRJ']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1Y7sb8rwDKccLPBJR0I1qkAajYD2j0gfx, name: {'name': 'HISTORIC_SHELL_HOUSE-17.prproj', 'size': '100.0GB', 'bytes': 107373946443, 'type': 'application/x-gzip', 'files': 101, 'folders': 11, 'id': '1Y7sb8rwDKccLPBJR0I1qkAajYD2j0gfx', 'parents': ['18hlCRLNp8jOgnEEtwUXYDNvdWUty3Unn']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1DNa_D0cpy1p9Hu0DptTn-4f_Gjji0TNc, name: {'name': 'XML', 'size': '100.0GB', 'bytes': 107374137911, 'type': 'Folder', 'files': 103, 'folders': 12, 'id': '1DNa_D0cpy1p9Hu0DptTn-4f_Gjji0TNc', 'parents': ['1rbz6Lv3sQpAnEebm5L7taLOOiMB8_DsX']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1Ewkxt0nMMCqSDQZmLHHMlr0RETA8cgcT, name: {'name': 'Interview_Melts-1.prproj', 'size': '100.0GB', 'bytes': 107374180543, 'type': 'application/x-gzip', 'files': 104, 'folders': 12, 'id': '1Ewkxt0nMMCqSDQZmLHHMlr0RETA8cgcT', 'parents': ['18hlCRLNp8jOgnEEtwUXYDNvdWUty3Unn']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 13qrjZ8ogZW1f_3aegCu3M5IaBmu2_710, name: {'name': 'Operations', 'size': '100.0GB', 'bytes': 107374180543, 'type': 'Folder', 'files': 104, 'folders': 13, 'id': '13qrjZ8ogZW1f_3aegCu3M5IaBmu2_710', 'parents': ['1W6gFHbu_tGncIOhUwnRLBDv7GEXGqP8i']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1eGJF9sJv6MYPZHUGyX3jj8INkNGDxjUk, name: {'name': 'Mindfulness', 'size': '100.0GB', 'bytes': 107374180543, 'type': 'Folder', 'files': 104, 'folders': 14, 'id': '1eGJF9sJv6MYPZHUGyX3jj8INkNGDxjUk', 'parents': ['1W6gFHbu_tGncIOhUwnRLBDv7GEXGqP8i']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
Moving file/folder 1UfEdiExMAXtqv5p8MnKuol9gv3k_1AfC, name: {'name': 'Membership', 'size': '100.0GB', 'bytes': 107374180543, 'type': 'Folder', 'files': 104, 'folders': 16, 'id': '1UfEdiExMAXtqv5p8MnKuol9gv3k_1AfC', 'parents': ['1W6gFHbu_tGncIOhUwnRLBDv7GEXGqP8i']}, to new folder, 1BL7bWhDaRHNW66CUHdmUfknp4SXUmnFx
